ID,Prompt,R.Manual,SQL.Manual,Python.Manual,Category,Tables
5,In which quarter was the total average value of withdraws the lowest?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Can you identify the quarter with the least average total withdrawal value?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Could you figure out the quarter that recorded the lowest overall average in withdraws?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,I need to know the quarter during which withdrawals averaged to the smallest total value.,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Please provide information on the quarter that had the smallest mean amount for withdrawals.,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
6,Was the highest-liquidated user a new user?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Did the user having the highest liquidation bear the status of a newcomer?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Is the user who was liquidated at the top classified as a newbie?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Confirm whether we categorize the user with the profoundest liquidation as a newcomer.,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Is it the case that the most heavily liquidated person was brand new to our platform?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
7,Make a data frame that consists of only the user and quarter columns along with all columns relating to liquidation,"lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Construct a new data frame which extracts columns 'user', 'quarter' and all liquidation-related columns from the lessQuarters data frame.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"From the lessQuarters data frame, filter out the data pertaining to 'user', 'quarter' and any other columns that are associated with liquidation, then create a new data frame with this data.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Create a derived data frame from the lessQuarters data frame with only the 'user', 'quarter' and all liquidation-related columns.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Pick the 'user', 'quarter' and all liquidation-related columns from the lessQuarters data frame and put them in a separate data frame.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
8,Find the average amount in transactions made by the alias who made the most transactions,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,Calculate the mean value of transactions made by the alias associated with the most transaction counts.,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,"Execute a mean computation on the transaction amounts, selecting those carried out by the topmost active alias.",lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,What's the average transaction sum for the user alias who has conducted the most transactions?,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,"For the entity alias with the most numerous transactions, can you find out the average monetary amount in their transactions?",lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
9,"Out of all reserves, which has the greatest gap between number of transactions with type 'collateral' and transactions with type 'borrow'?","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()",transaction,lessTrans
9,What is the reserve with the highest difference between 'collateral' and 'borrow' transaction type counts?,"table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()",transaction,lessTrans
9,Extract the reserve having the largest count difference between transaction types 'collateral' and 'borrow',"table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()",transaction,lessTrans
9,To identify the reserve with the maximum disparity in counts between 'borrow' and 'collateral' transactions.,"table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()",transaction,lessTrans
9,"Of all reserves, identify the one with the most pronounced difference in transaction counts when comparing 'collateral' and 'borrow' types?","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()","table(lessTrans$reserve, lessTrans$type) %>% as.data.frame.matrix %>% mutate(collateral_borrow_diff = collateral - borrow) %>% arrange(desc(collateral_borrow_diff)) %>% slice(1) %>% rownames()",transaction,lessTrans
10,"For transactions of type borrow, repay, or deposit, how many were performed by a different user than they were on behalf of?","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow",transaction,lessTrans
10,"Get the count of transactions where the user is different from the onBehalfOf field for the transaction types borrow, repay, and deposit.","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow",transaction,lessTrans
10,"How many borrow, repay, or deposit transactions were there in which the user who executed the transaction and the party for whom it was executed for are different?","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow",transaction,lessTrans
10,"Can you calculate the total number of borrow, repay, and deposit transactions made by a user who is different to the one on whose behalf they were conducted","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow",transaction,lessTrans
10,"For transactions of type borrow, repay, or deposit, how many were performed by a different user than they were on behalf of?","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow","lessTrans %>% filter(type %in% c('borrow', 'repay', 'deposit'), user != onBehalfOf) %>% nrow",transaction,lessTrans
11,Name all the aliases who performed the 100 transactions with the highest amounts,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,transaction,lessTrans
11,Display the aliases associated with the top 100 transactions recorded in terms of amount.,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,transaction,lessTrans
11,Name all the aliases who performed the 100 transactions with the highest amounts,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,transaction,lessTrans
11,List the aliases that carried out transactions with the highest 100 amounts.,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,transaction,lessTrans
11,Which aliases are responsible for the top 100 highest amount transactions?,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,lessTrans %>% arrange(desc(amount)) %>% slice(1:100) %>% select(userAlias) %>% unique,transaction,lessTrans
12,Has a liquidator ever liquidated themselves?,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,transaction,lessTrans
12,Is there a record of any liquidator self-liquidating?,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,transaction,lessTrans
12,Has self-liquidation ever been carried out by a liquidator?,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,transaction,lessTrans
12,Is there an instance where liquidation was self-imposed by a liquidator?,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,transaction,lessTrans
12,Has there ever been a case of a liquidator liquidating their own self?,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,nrow(lessTrans %>% filter(liquidator == user)) > 0,transaction,lessTrans
13,Give a breakdown of the percentages of transaction types for the reserve USDT,lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),transaction,lessTrans
13,Can you provide a distribution of transaction types as percents for the USDT reserve?,lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),lessTrans %>% filter(reserve == 'USDT') %>% group_by(type) %>% summarize(percent = n()) %>% mutate(percent = 100 * percent / sum(percent)),transaction,lessTrans
